kind,etag,id,snippet.channelId,snippet.title,snippet.assignable,param_part,param_regionCode,param_hl,param_maxResults,param_pageToken,queryTime
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",15,UCBR8-60-B28hp2BmDPdntcQ,Mascotas y animales,True,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",17,UCBR8-60-B28hp2BmDPdntcQ,Deportes,True,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",18,UCBR8-60-B28hp2BmDPdntcQ,Cortometrajes,False,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",19,UCBR8-60-B28hp2BmDPdntcQ,Viajes y eventos,True,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",20,UCBR8-60-B28hp2BmDPdntcQ,Videojuegos,True,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",21,UCBR8-60-B28hp2BmDPdntcQ,Blogs de vídeos,False,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",22,UCBR8-60-B28hp2BmDPdntcQ,Gente y blogs,True,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",23,UCBR8-60-B28hp2BmDPdntcQ,Comedia,True,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",24,UCBR8-60-B28hp2BmDPdntcQ,Entretenimiento,True,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",25,UCBR8-60-B28hp2BmDPdntcQ,Noticias y política,True,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",26,UCBR8-60-B28hp2BmDPdntcQ,Consejos y estilo,True,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",27,UCBR8-60-B28hp2BmDPdntcQ,Formación,True,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",28,UCBR8-60-B28hp2BmDPdntcQ,Ciencia y tecnología,True,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",29,UCBR8-60-B28hp2BmDPdntcQ,ONGs y activismo,True,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",30,UCBR8-60-B28hp2BmDPdntcQ,Películas,False,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",31,UCBR8-60-B28hp2BmDPdntcQ,Anime/Animación,False,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",32,UCBR8-60-B28hp2BmDPdntcQ,Acción/Aventuras,False,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",33,UCBR8-60-B28hp2BmDPdntcQ,Clásicos,False,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",34,UCBR8-60-B28hp2BmDPdntcQ,Comedia,False,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",35,UCBR8-60-B28hp2BmDPdntcQ,Documental,False,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",36,UCBR8-60-B28hp2BmDPdntcQ,Drama,False,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",37,UCBR8-60-B28hp2BmDPdntcQ,Familia,False,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",38,UCBR8-60-B28hp2BmDPdntcQ,Cine extranjero,False,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",39,UCBR8-60-B28hp2BmDPdntcQ,Terror,False,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",40,UCBR8-60-B28hp2BmDPdntcQ,Ciencia ficción/Fantasía,False,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",41,UCBR8-60-B28hp2BmDPdntcQ,Suspense,False,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",42,UCBR8-60-B28hp2BmDPdntcQ,Cortos,False,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
youtube#videoCategoryListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/JYJbcxzaBS9IEG5_wp8Bup35bGg""",43,UCBR8-60-B28hp2BmDPdntcQ,Programas,False,snippet,us,es,,,2020-02-04 13:17:02.261090+00:00
